Date,price,transaction_stock_volumn,transaction_amount,cum_stock_volumn,cum_stock_value,cash,total
2024-02-26,24.950000762939453,0.0,0.0,100.0,2495.0000762939453,17614.999961853027,20110.000038146973
2024-02-27,24.93000030517578,0.0,0.0,100.0,2493.000030517578,17614.999961853027,20107.999992370605
2024-02-28,25.299999237060547,0.0,0.0,100.0,2529.9999237060547,17614.999961853027,20144.999885559082
2024-02-29,25.049999237060547,-100.0,-2504.9999237060547,0.0,0.0,20119.999885559082,20119.999885559082
2024-03-01,25.0,0.0,0.0,0.0,0.0,20119.999885559082,20119.999885559082
2024-03-04,25.450000762939453,0.0,0.0,0.0,0.0,20119.999885559082,20119.999885559082
2024-03-05,25.940000534057617,100.0,2594.0000534057617,100.0,2594.0000534057617,17525.99983215332,20119.999885559082
2024-03-06,25.860000610351562,0.0,0.0,100.0,2586.0000610351562,17525.99983215332,20111.999893188477
2024-03-07,25.899999618530273,0.0,0.0,100.0,2589.9999618530273,17525.99983215332,20115.999794006348
2024-03-08,25.829999923706055,0.0,0.0,100.0,2582.9999923706055,17525.99983215332,20108.999824523926
2024-03-11,25.760000228881836,0.0,0.0,100.0,2576.0000228881836,17525.99983215332,20101.999855041504
2024-03-12,24.829999923706055,0.0,0.0,100.0,2482.9999923706055,17525.99983215332,20008.999824523926
2024-03-13,24.889999389648438,-100.0,-2488.9999389648438,0.0,0.0,20014.999771118164,20014.999771118164
2024-03-14,24.690000534057617,0.0,0.0,0.0,0.0,20014.999771118164,20014.999771118164
2024-03-15,24.709999084472656,0.0,0.0,0.0,0.0,20014.999771118164,20014.999771118164
2024-03-18,24.670000076293945,0.0,0.0,0.0,0.0,20014.999771118164,20014.999771118164
2024-03-19,24.719999313354492,0.0,0.0,0.0,0.0,20014.999771118164,20014.999771118164
2024-03-20,25.0,0.0,0.0,0.0,0.0,20014.999771118164,20014.999771118164
2024-03-21,24.940000534057617,0.0,0.0,0.0,0.0,20014.999771118164,20014.999771118164
2024-03-22,25.010000228881836,0.0,0.0,0.0,0.0,20014.999771118164,20014.999771118164
2024-03-25,24.979999542236328,100.0,2497.999954223633,100.0,2497.999954223633,17516.99981689453,20014.999771118164
2024-03-26,24.84000015258789,0.0,0.0,100.0,2484.000015258789,17516.99981689453,20000.99983215332
2024-03-27,24.829999923706055,0.0,0.0,100.0,2482.9999923706055,17516.99981689453,19999.999809265137
2024-03-28,24.850000381469727,0.0,0.0,100.0,2485.0000381469727,17516.99981689453,20001.999855041504
2024-03-29,24.93000030517578,0.0,0.0,100.0,2493.000030517578,17516.99981689453,20009.99984741211
2024-04-01,24.729999542236328,-100.0,-2472.999954223633,0.0,0.0,19989.999771118164,19989.999771118164
2024-04-02,24.639999389648438,0.0,0.0,0.0,0.0,19989.999771118164,19989.999771118164
2024-04-03,24.440000534057617,0.0,0.0,0.0,0.0,19989.999771118164,19989.999771118164
2024-04-08,25.360000610351562,0.0,0.0,0.0,0.0,19989.999771118164,19989.999771118164
2024-04-09,25.149999618530273,0.0,0.0,0.0,0.0,19989.999771118164,19989.999771118164
2024-04-10,25.6299991607666,100.0,2562.99991607666,100.0,2562.99991607666,17426.999855041504,19989.999771118164
2024-04-11,25.610000610351562,0.0,0.0,100.0,2561.0000610351562,17426.999855041504,19987.99991607666
2024-04-12,25.420000076293945,0.0,0.0,100.0,2542.0000076293945,17426.999855041504,19968.9998626709
2024-04-15,25.889999389648438,0.0,0.0,100.0,2588.9999389648438,17426.999855041504,20015.999794006348
2024-04-16,25.93000030517578,0.0,0.0,100.0,2593.000030517578,17426.999855041504,20019.999885559082
2024-04-17,25.979999542236328,0.0,0.0,100.0,2597.999954223633,17426.999855041504,20024.999809265137
2024-04-18,25.950000762939453,0.0,0.0,100.0,2595.0000762939453,17426.999855041504,20021.99993133545
2024-04-19,26.0,0.0,0.0,100.0,2600.0,17426.999855041504,20026.999855041504
2024-04-22,25.860000610351562,0.0,0.0,100.0,2586.0000610351562,17426.999855041504,20012.99991607666
2024-04-23,25.770000457763672,0.0,0.0,100.0,2577.000045776367,17426.999855041504,20003.99990081787
2024-04-24,25.770000457763672,0.0,0.0,100.0,2577.000045776367,17426.999855041504,20003.99990081787
2024-04-25,25.68000030517578,-100.0,-2568.000030517578,0.0,0.0,19994.999885559082,19994.999885559082
2024-04-26,25.56999969482422,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-04-29,25.479999542236328,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-04-30,25.790000915527344,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-05-06,25.469999313354492,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-05-07,25.350000381469727,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-05-08,25.309999465942383,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-05-09,25.360000610351562,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-05-10,25.479999542236328,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-05-13,25.6200008392334,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-05-14,25.579999923706055,0.0,0.0,0.0,0.0,19994.999885559082,19994.999885559082
2024-05-15,25.479999542236328,100.0,2547.999954223633,100.0,2547.999954223633,17446.99993133545,19994.999885559082
2024-05-16,25.420000076293945,0.0,0.0,100.0,2542.0000076293945,17446.99993133545,19988.999938964844
2024-05-17,25.780000686645508,0.0,0.0,100.0,2578.000068664551,17446.99993133545,20025.0
2024-05-20,25.989999771118164,0.0,0.0,100.0,2598.9999771118164,17446.99993133545,20045.999908447266
2024-05-21,26.100000381469727,0.0,0.0,100.0,2610.0000381469727,17446.99993133545,20056.999969482422
2024-05-22,25.979999542236328,0.0,0.0,100.0,2597.999954223633,17446.99993133545,20044.999885559082
2024-05-23,26.149999618530273,0.0,0.0,100.0,2614.9999618530273,17446.99993133545,20061.999893188477
2024-05-24,26.299999237060547,0.0,0.0,100.0,2629.9999237060547,17446.99993133545,20076.999855041504
2024-05-27,26.510000228881836,0.0,0.0,100.0,2651.0000228881836,17446.99993133545,20097.999954223633
2024-05-28,26.709999084472656,0.0,0.0,100.0,2670.9999084472656,17446.99993133545,20117.999839782715
2024-05-29,26.690000534057617,0.0,0.0,100.0,2669.0000534057617,17446.99993133545,20115.99998474121
2024-05-30,26.700000762939453,0.0,0.0,100.0,2670.0000762939453,17446.99993133545,20117.000007629395
2024-05-31,26.610000610351562,0.0,0.0,100.0,2661.0000610351562,17446.99993133545,20107.999992370605
